Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Register,Chrome 65.0.3325.181,,2561-03-31 20:25:12,2561-03-31 20:40:16,15m - 3.866s,PASSED
,,,,,,
Test Cases/Register volunteer/Register01,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E21\u0E39\u0E25\u0E43\u0E2B\u0E49\u0E16\u0E39\u0E01\u0E15\u0E49\u0E2D\u0E07\u0E17\u0E31\u0E49\u0E07\u0E2B\u0E21\u0E14,2561-03-31 20:25:13,2561-03-31 20:25:57,43.721s,PASSED
"Statement - randomString = CustomKeywords.generateEmail.genEmail.randomString(""abcdefghijklmnopqrstuvwxty123456789"", 10)",Chrome 65.0.3325.181,,2561-03-31 20:25:13,2561-03-31 20:25:13,0.064s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-03-31 20:25:13,2561-03-31 20:25:24,10.540s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-31 20:25:24,2561-03-31 20:25:38,13.833s,PASSED
click,Chrome 65.0.3325.181,,2561-03-31 20:25:38,2561-03-31 20:25:39,1.247s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:39,2561-03-31 20:25:40,1.088s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:40,2561-03-31 20:25:40,0.227s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:40,2561-03-31 20:25:40,0.158s,PASSED
uploadFile,Chrome 65.0.3325.181,,2561-03-31 20:25:40,2561-03-31 20:25:41,0.421s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:41,2561-03-31 20:25:41,0.271s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:41,2561-03-31 20:25:41,0.191s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:41,2561-03-31 20:25:42,0.238s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:42,2561-03-31 20:25:42,0.191s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:42,2561-03-31 20:25:42,0.395s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-03-31 20:25:42,2561-03-31 20:25:42,0.335s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-03-31 20:25:42,2561-03-31 20:25:43,0.219s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-03-31 20:25:43,2561-03-31 20:25:43,0.246s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:43,2561-03-31 20:25:43,0.154s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:43,2561-03-31 20:25:43,0.202s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:43,2561-03-31 20:25:43,0.164s,PASSED
delay,Chrome 65.0.3325.181,,2561-03-31 20:25:43,2561-03-31 20:25:46,2.028s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-03-31 20:25:46,2561-03-31 20:25:46,0.157s,PASSED
delay,Chrome 65.0.3325.181,,2561-03-31 20:25:46,2561-03-31 20:25:48,2.002s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-03-31 20:25:48,2561-03-31 20:25:48,0.169s,PASSED
delay,Chrome 65.0.3325.181,,2561-03-31 20:25:48,2561-03-31 20:25:50,2.002s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-03-31 20:25:50,2561-03-31 20:25:50,0.162s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:50,2561-03-31 20:25:50,0.156s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-03-31 20:25:50,2561-03-31 20:25:50,0.201s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:50,2561-03-31 20:25:51,0.495s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:51,2561-03-31 20:25:51,0.255s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:51,2561-03-31 20:25:51,0.244s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-31 20:25:51,2561-03-31 20:25:52,0.175s,PASSED
click,Chrome 65.0.3325.181,,2561-03-31 20:25:52,2561-03-31 20:25:56,4.311s,PASSED
