Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Register,Chrome 65.0.3325.181,,2561-04-01 12:52:20,2561-04-01 13:07:43,15m - 22.956s,PASSED
,,,,,,
Test Cases/Register volunteer/Register01,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E21\u0E39\u0E25\u0E43\u0E2B\u0E49\u0E16\u0E39\u0E01\u0E15\u0E49\u0E2D\u0E07\u0E17\u0E31\u0E49\u0E07\u0E2B\u0E21\u0E14,2561-04-01 12:52:21,2561-04-01 12:52:55,34.122s,PASSED
"Statement - randomString = CustomKeywords.generateEmail.genEmail.randomString(""abcdefghijklmnopqrstuvwxty123456789"", 10)",Chrome 65.0.3325.181,,2561-04-01 12:52:22,2561-04-01 12:52:22,0.079s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-04-01 12:52:22,2561-04-01 12:52:32,10.036s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-04-01 12:52:32,2561-04-01 12:52:36,3.827s,PASSED
click,Chrome 65.0.3325.181,,2561-04-01 12:52:36,2561-04-01 12:52:36,0.891s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:52:36,2561-04-01 12:52:37,0.543s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:52:37,2561-04-01 12:52:37,0.225s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:52:37,2561-04-01 12:52:37,0.222s,PASSED
uploadFile,Chrome 65.0.3325.181,,2561-04-01 12:52:37,2561-04-01 12:52:38,0.165s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:52:38,2561-04-01 12:52:38,0.306s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:52:38,2561-04-01 12:52:38,0.245s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:52:38,2561-04-01 12:52:38,0.292s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:52:38,2561-04-01 12:52:39,0.234s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:52:39,2561-04-01 12:52:39,0.456s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-01 12:52:39,2561-04-01 12:52:40,0.489s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-01 12:52:40,2561-04-01 12:52:40,0.375s,PASSED
