Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Register,Chrome 65.0.3325.181,,2561-04-03 13:29:09,2561-04-03 13:34:05,4m - 55.750s,INCOMPLETE
,,,,,,
Test Cases/Register volunteer/Register01,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E21\u0E39\u0E25\u0E43\u0E2B\u0E49\u0E16\u0E39\u0E01\u0E15\u0E49\u0E2D\u0E07\u0E17\u0E31\u0E49\u0E07\u0E2B\u0E21\u0E14,2561-04-03 13:29:09,2561-04-03 13:29:58,48.923s,PASSED
"Statement - randomString = CustomKeywords.generateEmail.genEmail.randomString(""abcdefghijklmnopqrstuvwxty123456789"", 10)",Chrome 65.0.3325.181,,2561-04-03 13:29:10,2561-04-03 13:29:10,0.027s,PASSED
"Statement - randomNameTH = CustomKeywords.generateEmail.genEmail.randomString(""°¢§¶ß®©™´∞ØƒÊ‰”æ–—’√÷¿∂ÿŸ£•∫¬≠Í√∏–±æøÀ¶°Ø¥‚¨‡ÁÈË“… »«∆ΩÃ„≤≤∑◊Ï‘ŒÕ·ªº"", 12)",Chrome 65.0.3325.181,,2561-04-03 13:29:10,2561-04-03 13:29:10,0.002s,PASSED
"Statement - randomLastNameTH = CustomKeywords.generateEmail.genEmail.randomString(""°¢§¶ß®©™´∞ØƒÊ‰”æ–—’√÷¿∂ÿŸ£•∫¬≠Í√∏–±æøÀ¶°Ø¥‚¨‡ÁÈË“… »«∆ΩÃ„≤≤∑◊Ï‘ŒÕ·ªº"", 12)",Chrome 65.0.3325.181,,2561-04-03 13:29:10,2561-04-03 13:29:10,0.002s,PASSED
Statement - randomR = CustomKeywords.random.randomReligion.randomRRR(),Chrome 65.0.3325.181,,2561-04-03 13:29:10,2561-04-03 13:29:10,0.011s,PASSED
Statement - radomD = CustomKeywords.random.randomDegree.randomDeg(),Chrome 65.0.3325.181,,2561-04-03 13:29:10,2561-04-03 13:29:10,0.004s,PASSED
Statement - randomJ = CustomKeywords.random.randomJobs.randomJOb(),Chrome 65.0.3325.181,,2561-04-03 13:29:10,2561-04-03 13:29:10,0.008s,PASSED
Statement - randomS = CustomKeywords.random.randomStatus.randomSta(),Chrome 65.0.3325.181,,2561-04-03 13:29:10,2561-04-03 13:29:10,0.005s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-04-03 13:29:10,2561-04-03 13:29:13,3.309s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-04-03 13:29:13,2561-04-03 13:29:41,27.936s,PASSED
click,Chrome 65.0.3325.181,,2561-04-03 13:29:41,2561-04-03 13:29:42,1.002s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:42,2561-04-03 13:29:42,0.262s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:42,2561-04-03 13:29:43,0.169s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:43,2561-04-03 13:29:43,0.183s,PASSED
uploadFile,Chrome 65.0.3325.181,,2561-04-03 13:29:43,2561-04-03 13:29:43,0.079s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:43,2561-04-03 13:29:43,0.204s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:43,2561-04-03 13:29:43,0.197s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:43,2561-04-03 13:29:43,0.172s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:43,2561-04-03 13:29:44,0.165s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:44,2561-04-03 13:29:44,0.302s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:29:44,2561-04-03 13:29:44,0.313s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:29:44,2561-04-03 13:29:44,0.319s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:29:44,2561-04-03 13:29:45,0.403s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:45,2561-04-03 13:29:45,0.175s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:45,2561-04-03 13:29:45,0.149s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:45,2561-04-03 13:29:45,0.157s,PASSED
delay,Chrome 65.0.3325.181,,2561-04-03 13:29:45,2561-04-03 13:29:47,2.021s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:29:47,2561-04-03 13:29:47,0.123s,PASSED
delay,Chrome 65.0.3325.181,,2561-04-03 13:29:47,2561-04-03 13:29:49,2.001s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:29:49,2561-04-03 13:29:50,0.114s,PASSED
delay,Chrome 65.0.3325.181,,2561-04-03 13:29:50,2561-04-03 13:29:52,2.002s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:29:52,2561-04-03 13:29:52,0.110s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:52,2561-04-03 13:29:52,0.124s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:29:52,2561-04-03 13:29:52,0.186s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:52,2561-04-03 13:29:52,0.314s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:52,2561-04-03 13:29:52,0.149s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:52,2561-04-03 13:29:53,0.184s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:29:53,2561-04-03 13:29:53,0.141s,PASSED
click,Chrome 65.0.3325.181,,2561-04-03 13:29:53,2561-04-03 13:29:58,4.742s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2561-04-03 13:29:58,2561-04-03 13:29:58,0.061s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-04-03 13:29:58,2561-04-03 13:29:58,0.714s,PASSED
,,,,,,
Test Cases/Register volunteer/Register02,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E21\u0E39\u0E25\u0E17\u0E31\u0E49\u0E07\u0E2B\u0E21\u0E14 \u0E42\u0E14\u0E22\u0E01\u0E23\u0E2D\u0E01\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19\u0E44\u0E21\u0E48\u0E40\u0E2B\u0E21\u0E37\u0E2D\u0E19\u0E01\u0E31\u0E1A\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19,2561-04-03 13:29:58,2561-04-03 13:30:39,40.260s,PASSED
