Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 65.0.3325.181,,2561-04-01 12:51:17,2561-04-01 12:52:00,43.567s,PASSED
,,,,,,
Test Cases/Login/Login01,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01 \u0E23\u0E2B\u0E31\u0E2A\u0E2A\u0E21\u0E32\u0E0A\u0E34\u0E01 \u0E41\u0E25\u0E30\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19\u0E43\u0E2B\u0E49\u0E16\u0E39\u0E01\u0E15\u0E49\u0E2D\u0E07,2561-04-01 12:51:17,2561-04-01 12:51:29,12.406s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-04-01 12:51:17,2561-04-01 12:51:22,4.997s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-04-01 12:51:22,2561-04-01 12:51:27,4.474s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:51:27,2561-04-01 12:51:27,0.381s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:51:27,2561-04-01 12:51:27,0.194s,PASSED
click,Chrome 65.0.3325.181,,2561-04-01 12:51:27,2561-04-01 12:51:29,1.245s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-04-01 12:51:29,2561-04-01 12:51:29,0.744s,PASSED
,,,,,,
Test Cases/Login/Login02,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01 \u0E23\u0E2B\u0E31\u0E2A\u0E2A\u0E21\u0E32\u0E0A\u0E34\u0E01\u0E1C\u0E34\u0E14\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19\u0E43\u0E2B\u0E49\u0E16\u0E39\u0E01\u0E15\u0E49\u0E2D\u0E07,2561-04-01 12:51:29,2561-04-01 12:51:40,10.192s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-04-01 12:51:30,2561-04-01 12:51:32,2.588s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-04-01 12:51:32,2561-04-01 12:51:38,5.340s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:51:38,2561-04-01 12:51:38,0.288s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:51:38,2561-04-01 12:51:38,0.198s,PASSED
click,Chrome 65.0.3325.181,,2561-04-01 12:51:38,2561-04-01 12:51:39,0.721s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2561-04-01 12:51:39,2561-04-01 12:51:39,0.116s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-04-01 12:51:39,2561-04-01 12:51:40,0.771s,PASSED
,,,,,,
Test Cases/Login/Login03,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01 \u0E23\u0E2B\u0E31\u0E2A\u0E2A\u0E21\u0E32\u0E0A\u0E34\u0E01\u0E16\u0E39\u0E01\u0E15\u0E49\u0E2D\u0E07 \u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19\u0E1C\u0E34\u0E14,2561-04-01 12:51:40,2561-04-01 12:51:50,10.257s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-04-01 12:51:40,2561-04-01 12:51:43,3.218s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-04-01 12:51:43,2561-04-01 12:51:48,4.830s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:51:48,2561-04-01 12:51:48,0.268s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:51:48,2561-04-01 12:51:48,0.158s,PASSED
click,Chrome 65.0.3325.181,,2561-04-01 12:51:48,2561-04-01 12:51:49,0.775s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2561-04-01 12:51:49,2561-04-01 12:51:49,0.105s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-04-01 12:51:49,2561-04-01 12:51:50,0.752s,PASSED
,,,,,,
Test Cases/Login/Login04,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01 \u0E23\u0E2B\u0E31\u0E2A\u0E2A\u0E21\u0E32\u0E0A\u0E34\u0E01 \u0E41\u0E25\u0E30\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19\u0E17\u0E35\u0E48\u0E22\u0E31\u0E07\u0E44\u0E21\u0E48\u0E40\u0E04\u0E22\u0E25\u0E07\u0E17\u0E30\u0E40\u0E1A\u0E35\u0E22\u0E19,2561-04-01 12:51:50,2561-04-01 12:52:00,10.089s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-04-01 12:51:50,2561-04-01 12:51:54,3.988s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-04-01 12:51:54,2561-04-01 12:51:58,3.831s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:51:58,2561-04-01 12:51:58,0.291s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-01 12:51:58,2561-04-01 12:51:59,0.265s,PASSED
click,Chrome 65.0.3325.181,,2561-04-01 12:51:59,2561-04-01 12:51:59,0.689s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2561-04-01 12:51:59,2561-04-01 12:51:59,0.091s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-04-01 12:51:59,2561-04-01 12:52:00,0.743s,PASSED
