Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Register volunteer/Register02,Chrome 65.0.3325.181,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E21\u0E39\u0E25\u0E17\u0E31\u0E49\u0E07\u0E2B\u0E21\u0E14 \u0E42\u0E14\u0E22\u0E01\u0E23\u0E2D\u0E01\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19\u0E44\u0E21\u0E48\u0E40\u0E2B\u0E21\u0E37\u0E2D\u0E19\u0E01\u0E31\u0E1A\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E23\u0E2B\u0E31\u0E2A\u0E1C\u0E48\u0E32\u0E19,2561-04-03 13:40:47,2561-04-03 13:41:43,56.677s,PASSED
"Statement - randomString = CustomKeywords.generateEmail.genEmail.randomString(""abcdefghijklmnopqrstuvwxty123456789"", 10)",Chrome 65.0.3325.181,,2561-04-03 13:40:47,2561-04-03 13:40:47,0.001s,PASSED
"Statement - randomP = CustomKeywords.randomPass.randomPass.randomString(""abcdefghijklmnopqrstuvwxty123456789"", 10)",Chrome 65.0.3325.181,,2561-04-03 13:40:47,2561-04-03 13:40:47,0.306s,PASSED
"Statement - randomPa = CustomKeywords.randomPass.randomPass.randomString(""abcdefghijklmnopqrstuvwxty123456789"", 10)",Chrome 65.0.3325.181,,2561-04-03 13:40:47,2561-04-03 13:40:47,0.000s,PASSED
Statement - randomR = CustomKeywords.random.randomReligion.randomRRR(),Chrome 65.0.3325.181,,2561-04-03 13:40:47,2561-04-03 13:40:47,0.002s,PASSED
Statement - radomD = CustomKeywords.random.randomDegree.randomDeg(),Chrome 65.0.3325.181,,2561-04-03 13:40:47,2561-04-03 13:40:47,0.000s,PASSED
Statement - randomJ = CustomKeywords.random.randomJobs.randomJOb(),Chrome 65.0.3325.181,,2561-04-03 13:40:47,2561-04-03 13:40:47,0.000s,PASSED
Statement - randomS = CustomKeywords.random.randomStatus.randomSta(),Chrome 65.0.3325.181,,2561-04-03 13:40:47,2561-04-03 13:40:47,0.000s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-04-03 13:40:47,2561-04-03 13:40:57,9.571s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-04-03 13:40:57,2561-04-03 13:41:26,29.366s,PASSED
click,Chrome 65.0.3325.181,,2561-04-03 13:41:26,2561-04-03 13:41:28,1.846s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:28,2561-04-03 13:41:28,0.510s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:28,2561-04-03 13:41:29,0.186s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:29,2561-04-03 13:41:29,0.185s,PASSED
uploadFile,Chrome 65.0.3325.181,,2561-04-03 13:41:29,2561-04-03 13:41:29,0.616s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:29,2561-04-03 13:41:30,0.306s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:30,2561-04-03 13:41:30,0.229s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:30,2561-04-03 13:41:30,0.170s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:30,2561-04-03 13:41:30,0.199s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:30,2561-04-03 13:41:31,0.464s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:41:31,2561-04-03 13:41:31,0.285s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:41:31,2561-04-03 13:41:31,0.277s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-04-03 13:41:31,2561-04-03 13:41:32,0.281s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:32,2561-04-03 13:41:32,0.170s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:32,2561-04-03 13:41:32,0.182s,PASSED
setText,Chrome 65.0.3325.181,,2561-04-03 13:41:32,2561-04-03 13:41:32,0.279s,PASSED
delay,Chrome 65.0.3325.181,,2561-04-03 13:41:32,2561-04-03 13:41:34,2.001s,PASSED
